,Radiation,Temperature,Pressure,Humidity,WindDirection(Degrees),Speed,month,daylight_minutes,hour_sin,hour_cos
0,1.21,48,30.46,59,177.39,5.62,9,720.0,0.0,1.0
1,1.21,48,30.46,58,176.78,3.37,9,720.0,0.0,1.0
2,1.23,48,30.46,57,158.75,3.37,9,720.0,0.0,1.0
3,1.21,48,30.46,60,137.71,3.37,9,720.0,0.0,1.0
4,1.17,48,30.46,62,104.95,5.62,9,720.0,0.0,1.0
5,1.21,48,30.46,64,120.2,5.62,9,720.0,0.0,1.0
6,1.2,49,30.46,72,112.45,6.75,9,720.0,0.0,1.0
7,1.24,49,30.46,71,122.97,5.62,9,720.0,0.0,1.0
8,1.23,49,30.46,80,101.18,4.5,9,720.0,0.0,1.0
9,1.21,49,30.46,85,141.87,4.5,9,720.0,0.0,1.0
10,1.23,49,30.47,93,120.55,2.25,9,720.0,0.0,1.0
11,1.21,49,30.47,98,144.19,3.37,9,720.0,0.0,1.0
12,1.22,49,30.47,99,139.8,6.75,9,720.0,0.0,1.0
13,1.21,50,30.47,99,140.92,2.25,9,720.0,0.0,1.0
14,1.23,50,30.47,99,147.61,5.62,9,720.0,0.0,1.0
15,1.22,50,30.47,99,113.78,4.5,9,720.0,0.0,1.0
16,1.21,50,30.47,99,123.03,10.12,9,720.0,0.0,1.0
17,1.22,50,30.47,99,173.73,6.75,9,720.0,0.0,1.0
18,1.22,50,30.47,98,91.43,6.75,9,720.0,0.0,1.0
19,1.2,50,30.47,98,109.74,6.75,9,720.0,0.0,1.0
20,1.2,50,30.47,98,143.53,2.25,9,720.0,0.0,1.0
21,1.2,50,30.47,97,146.76,5.62,9,720.0,0.0,1.0
22,1.21,50,30.47,97,158.35,4.5,9,720.0,0.0,1.0
23,1.22,50,30.47,97,166.05,5.62,9,720.0,0.0,1.0
24,1.22,50,30.47,96,151.82,5.62,9,720.0,0.0,1.0
25,1.22,50,30.47,96,152.52,6.75,9,720.0,0.0,1.0
26,1.24,50,30.47,95,127.82,7.87,9,720.0,0.0,1.0
27,1.23,50,30.47,95,157.58,6.75,9,720.0,0.0,1.0
28,1.23,50,30.47,95,172.96,7.87,9,720.0,0.0,1.0
29,1.23,50,30.47,95,143.82,6.75,9,720.0,0.0,1.0
30,1.24,50,30.47,94,154.03,5.62,9,720.0,0.0,1.0
31,1.2,50,30.47,93,165.93,4.5,9,720.0,0.0,1.0
32,1.24,50,30.47,93,139.82,7.87,9,720.0,0.0,1.0
33,1.21,49,30.47,93,166.07,9.0,9,720.0,0.0,1.0
34,1.24,50,30.47,93,116.16,5.62,9,720.0,0.0,1.0
35,1.2,50,30.47,92,157.48,4.5,9,720.0,0.0,1.0
36,1.19,50,30.47,91,112.27,7.87,9,720.0,0.0,1.0
37,1.25,50,30.47,90,133.69,6.75,9,720.0,0.0,1.0
38,1.25,50,30.47,88,140.64,6.75,9,720.0,0.0,1.0
39,1.23,50,30.47,87,52.89,1.12,9,720.0,0.0,1.0
40,1.21,50,30.47,86,132.66,4.5,9,720.0,0.0,1.0
41,1.25,50,30.46,85,138.35,5.62,9,720.0,0.0,1.0
42,1.23,50,30.46,84,109.87,3.37,9,720.0,0.0,1.0
43,1.23,50,30.47,81,123.25,3.37,9,720.0,0.0,1.0
44,1.26,50,30.46,75,158.64,4.5,9,720.0,0.0,1.0
45,1.17,50,30.46,70,165.22,5.62,9,720.0,0.0,1.0
46,1.22,50,30.46,63,160.51,3.37,9,720.0,0.0,1.0
47,1.22,50,30.46,51,155.36,4.5,9,720.0,0.0,1.0
48,1.22,50,30.46,47,157.78,6.75,9,720.0,0.0,1.0
49,1.24,50,30.46,46,151.6,3.37,9,720.0,0.0,1.0
50,1.25,50,30.46,47,105.78,4.5,9,720.0,0.0,1.0
51,1.19,50,30.46,48,135.55,4.5,9,720.0,0.0,1.0
52,1.19,50,30.46,56,140.92,4.5,9,720.0,0.0,1.0
53,1.23,50,30.46,57,165.0,4.5,9,720.0,0.0,1.0
54,1.19,51,30.46,55,126.63,3.37,9,720.0,0.0,1.0
55,1.23,51,30.46,54,119.97,4.5,9,720.0,0.0,1.0
56,1.22,51,30.45,53,95.57,2.25,9,720.0,0.0,1.0
57,1.24,51,30.45,51,100.02,4.5,9,720.0,0.0,1.0
58,1.24,51,30.45,51,111.73,2.25,9,720.0,0.0,1.0
59,1.23,51,30.45,52,145.77,5.62,9,720.0,0.0,1.0
60,1.23,51,30.45,51,105.89,6.75,9,720.0,0.0,1.0
61,1.24,51,30.45,52,120.86,5.62,9,720.0,0.0,1.0
62,1.23,51,30.44,55,170.11,5.62,9,720.0,0.0,1.0
63,1.21,52,30.44,55,107.15,5.62,9,720.0,0.0,1.0
64,1.24,52,30.44,55,129.29,6.75,9,720.0,0.0,1.0
65,1.18,52,30.45,59,158.73,3.37,9,720.0,0.0,1.0
66,1.52,52,30.44,59,211.38,2.25,9,720.0,0.0,1.0
67,5.07,53,30.44,61,174.97,4.5,9,720.0,0.0,1.0
68,6.16,53,30.44,62,120.78,7.87,9,720.0,0.0,1.0
69,6.63,53,30.44,59,118.82,5.62,9,720.0,0.0,1.0
70,10.96,54,30.44,59,154.16,4.5,9,720.0,0.0,1.0
71,19.42,55,30.44,57,58.42,6.75,9,720.0,0.0,1.0
72,27.14,55,30.44,53,47.86,4.5,9,720.0,0.0,1.0
73,33.75,56,30.44,52,74.56,2.25,9,720.0,0.0,1.0
74,49.57,56,30.44,49,25.72,6.75,9,720.0,0.0,1.0
75,59.62,56,30.44,50,102.11,2.25,9,720.0,0.0,1.0
